"id"	"sitc"	"name"
105722	5722	"Initiating Devices"
105838	5838	"Polymerization Ion Exchangers"
106250	6250	"Rubber tires, tire cases, inner and flaps, for wheels of all kinds"
106251	6251	"Car Tires"
106280	6280	"Other articles of rubber"
106282	6282	"Transmission Belts"
106289	6289	"Miscellaneous Rubber"
106352	6352	"Casks and Barrels"
106418	6418	"Coated Paper"
106572	6572	"Bonded Fiber Fabrics"
106577	6577	"Textiles Fabrics for Machinery"
106631	6631	"Polishing Stones"
106632	6632	"Abrasive Powder"
106645	6645	"Unworked Cast Glass"
106647	6647	"Safety Glass"
106731	6731	"Iron Wire"
106760	6760	"Metal Railway Material"
106781	6781	"Iron Pipes"
106782	6782	"Seamless Iron Tubes"
106784	6784	"High-pressure hydro-electric conduits of steel"
106785	6785	"Iron Tubes"
106793	6793	"Iron and Steel Forging"
106832	6832	"Worked Nickel"
106940	6940	"Fasteners"
106950	6950	"Tools for use in machines or by hand"
106954	6954	"Interchangeable Tool Parts"
106975	6975	"Miscellaneous Indoors Sanitary Ware of Base Metal"
106991	6991	"Locksmith Hardware"
106992	6992	"Metal Chains"
106994	6994	"Metal Springs"
107000	7000	"Machinery and transport equipment"
107100	7100	"Power generating machinery and equipment"
107120	7120	"Steam engines, turbines"
107126	7126	"Steam Power Units"
107129	7129	"Miscellaneous Parts of Steam Power Units"
107130	7130	"Internal combustion piston engines and parts"
107132	7132	"Motor Vehicles Piston Engines"
107133	7133	"Internal Combustion Engines for Boats"
107138	7138	"Miscellaneous Combustion Engines"
107139	7139	"Piston Engine Parts"
107140	7140	"Non-electric engines and motors"
107160	7160	"Rotating electric plant and parts thereof, nes"
107161	7161	"DC Motors"
107162	7162	"Electric Motors and AC Generators"
107163	7163	"Rotary Converters"
107169	7169	"Miscellaneous Rotating Electric Plant Parts"
107187	7187	"Nuclear Reactors"
107188	7188	"Miscellaneous Engines"
107200	7200	"Machinery specialized for specific industries"
107210	7210	"Agricultural machinery (excluding tractors) and parts thereof, nes"
107211	7211	"Soil Preparation Machinery"
107212	7212	"Harvesting Machines"
107213	7213	"Dairy Machinery"
107219	7219	"Miscellaneous Agricultural Machinery"
107220	7220	"Non-road tractors"
107223	7223	"Track Laying Tractors"
107224	7224	"Tractors"
107230	7230	"Civil engineering equipment"
107233	7233	"Road Rollers"
107234	7234	"Construction Machinery"
107239	7239	"Miscellaneous Machinery"
107240	7240	"Textile and leather machinery"
